ID;Iconography ;Motif represented;Technique ;Narrow juxtaposition;With overlap;Number of overlaps;Type of overlap;Phases involved;Cultural attribution;Decorative phase
PM.I.198;Fingerings;Fingerings;Paint;Yes;;;;;Gravetto-solutrean ;3
PM.I.199;Dot;"
Row of stitches";Paint;Yes;;;;;Gravetto-solutrean ;3
PM.I.200;Line;Straight;Paint;;Yes;1;Overlapping without consideration;1&3;Gravetto-solutrean ;3
PM.I.201;Hand;Negative hand;Paint;;Yes;2;Overlapping without consideration;1/1&3;Aurignacian-Gravettian ;1
PM.I.202;Hand;Negative hand;Paint;;Yes;2;Overlapping without consideration;1/1&3;Aurignacian-Gravettian ;1
PM.I.203;Dot;"
Row of stitches";Paint;Yes;;;;;Gravetto-solutrean ;3
PM.I.204;Zoomorph;Hind;Engraved;Yes;;;;;Lower Magdalenian ;4
PM.I.205;Zoomorph;Indeterminate;Engraved;Yes;;;;;Lower Magdalenian ;4
PM.I.206;Fingerings;Fingerings;Paint;;Yes;1;Overlapping without consideration;2;Gravetian ;2
PM.I.207;Line;Straight;Paint;;Yes;1;Overlapping without consideration;2;Gravetian ;2
PM.I.208;Dot;Dot;Paint;Yes;;;;;Gravetian ;2
PM.I.209;Dot;Dot;Paint;Yes;;;;;Gravetian ;2
PM.I.210;Dot;Dot;Paint;Yes;;;;;Gravetian ;2
PM.I.211;Line;Straight;Paint;;Yes;1;Overlapping without consideration;1&2;Gravetian ;2
PM.I.212;Non figurative;Stain;Paint;;Yes;1;Overlapping without consideration;2;Gravetian ;2
PM.I.213;Non figurative;Stick;Paint;;Yes;2;Overlapping without consideration;2;Gravetian ;2
PM.I.214;Line;Straight;Paint;;Yes;1;Overlapping without consideration;2;Gravetian ;2
PM.I.215;Non figurative;Disc;Paint;Yes;;;;;Aurignacian-Gravettian ;1
PM.I.216;Non figurative;Disc;Paint;;Yes;1;Overlapping without consideration;1;Aurignacian-Gravettian ;1
